CD_UNID;NOME_UNID;CS_TT_MAQUINA;DESCR_MAQUINA;CD_MAQUINA;CD_SETORMANUT;DESCR_SETORMANUT;CD_PRIOMAQUTV;NRO_PATRIMONIO;CD_MODELO;CD_GRUPO;CD_TPCENTATIV;DESCR_GERENC
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994501;PRU;SETOR DE PRESUNTARIA          ;1;0;2;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA AMBIENTE - PT100;1317;BET;SETOR BENEFICIAMENTO DE TRIPA ;1;0;1;12;2232;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA AMBIENTE - PT100;1315;MEX;MIUDOS EXTERNOS               ;1;0;1;12;2739;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA AMBIENTE - PT100;1486;ABT;SETOR ABATE/RESFRIAMENTO      ;1;0;1;12;2488;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA AMBIENTE - PT100;99999313;SEI;SETOR EMB INDUSTRIALIZADOS    ;1;0;1;12;5345;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA AMBIENTE - PT100;99999397;TCA;SETOR TUNEIS E CAMARAS        ;1;0;1;12;2313;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA AMBIENTE - PT100;99999393;CEB;EMBUTIDOS COZIDOS             ;1;0;1;12;2283;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA DE ÁGUA - PT100;2518;ABT;SETOR ABATE/RESFRIAMENTO      ;1;0;1;12;2488;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA DE ÁGUA - PT100;2393;ABT;SETOR ABATE/RESFRIAMENTO      ;1;0;2;12;2488;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA PT100;99999291;EST;SETOR DE ESTUFAS              ;1;0;1;12;4588;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA PT100;99999283;EST;SETOR DE ESTUFAS              ;1;0;1;12;4588;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA PT100;99999286;EST;SETOR DE ESTUFAS              ;1;0;1;12;4588;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA PT100;99999287;EST;SETOR DE ESTUFAS              ;1;0;1;12;4588;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA PT100;99999289;EST;SETOR DE ESTUFAS              ;1;0;1;12;4588;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR TEMPERATURA;4565;MIN;MIUDOS INTERNOS               ;1;0;1;12;2721;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE AMÔNIA -10°C;1702;GEF;SETOR DE OPERACAO DE FRIO     ;8;0;9999;22004;1210;OUTROS
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE AMÔNIA -10°C - BOMBA 01;1703;GEF;SETOR DE OPERACAO DE FRIO     ;8;0;9999;6000;1210;OUTROS
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE AMÔNIA -10°C - BOMBA 01 - MOTOR;1704;GEF;SETOR DE OPERACAO DE FRIO     ;8;0;9999;19000;1210;OUTROS
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE AMÔNIA -10°C - BOMBA 02;1705;GEF;SETOR DE OPERACAO DE FRIO     ;8;0;9999;6000;1210;OUTROS
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE AMÔNIA -10°C - BOMBA 02 - MOTOR;1706;GEF;SETOR DE OPERACAO DE FRIO     ;8;0;9999;19000;1210;OUTROS
92;FRIG. AURORA CASTRO;4228;SEPARADOR DE CONDENSADO - SALA DE MAQUINAS (SEP1701000005);99986021;GEF;SETOR DE OPERACAO DE FRIO     ;6;;9999;22004;1210;MÁQUINAS PRINCIPAL
